Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Estaca de Bares,A Coruña,10.1 (15:30),4.9 (09:10),7.5,50 (19:20),30 (02:00),6.2,0.2,3,0.6,2.4,43.78611111111111,-7.684722222222223
Ferrol,A Coruña,10.8 (15:10),3.3 (09:00),7.1,26 (19:30),12 (17:10),5.8,1.3,3,0.4,1.1,43.4846862,-8.233162
A Coruña,A Coruña,10.4 (14:20),5.9 (05:40),8.1,24 (05:30),14 (16:20),6.6,1.8,2,0.6,2.2,43.365833333333335,-8.421388888888888
A Coruña Aeropuerto,A Coruña,9.7 (13:50),3.1 (03:30),6.4,28 (16:40),14 (16:40),5.4,3.1,1.1,0.4,0.8,43.300259499999996,-8.379608542189715
Cabo Vilan,A Coruña,9.9 (16:10),5.1 (09:10),7.5,55 (08:00),39 (07:50),7.2,0.6,1.9,2.5,2.2,43.160555555555554,-9.210833333333333
Fisterra,A Coruña,8.6 (16:50),5.1 (00:00),6.9,62 (07:20),34 (02:10),8.8,2.2,2.4,3.2,1,42.92472222222222,-9.29138888888889
Santiago de Compostela Aeropuerto,A Coruña,8.4 (16:10),1.2 (03:50),4.8,18 (15:40),10 (15:50),2.6,1.5,0.8,0,0.3,42.88805555555555,-8.410555555555556
Noia,A Coruña,9.3 (14:00),3.0 (09:30),6.2,13 (14:20),4 (15:00),7,6.2,0.6,0.2,0,42.7850763,-8.8877375
Padrón,A Coruña,8.8 (16:10),2.6 (09:20),5.7,19 (10:50),13 (13:20),1.2,0.8,0.4,0,0,42.73833333333334,-8.627222222222223
Santiago de Compostela,A Coruña,9.3 (17:10),3.3 (09:10),6.3,13 (17:00),1 (15:20),3.4,1.9,1.1,0.1,0.3,42.876111111111115,-8.555833333333334
Ossa de Montiel,Albacete,3.2 (14:20),-4.1 (08:30),-0.4,43 (12:10),14 (16:00),1,0,1,0,0,38.9625266,-2.7453748
Villarrobledo,Albacete,5.6 (14:10),-2.7 (08:00),1.4,45 (12:10),28 (11:30),0,0,0,0,0,39.2681742,-2.6042132
Munera,Albacete,2.8 (14:10),-3.4 (08:10),-0.3,36 (15:50),17 (11:30),0,0,0,0,0,39.0417625,-2.4800931
Hellín,Albacete,5.3 (15:20),0.3 (08:50),2.8,59 (14:40),36 (13:00),0,0,0,0,0,38.54194444444444,-1.7030555555555555
Albacete Base Aérea,Albacete,4.0 (13:50),-1.5 (06:30),1.3,60 (14:00),42 (14:10),0,0,0,0,0,38.95416666666667,-1.856388888888889
Chinchilla,Albacete,0.2 (15:10),-4.6 (08:30),-2.2,50 (13:50),30 (12:30),1,0,0.6,0.4,0,38.93583333333333,-1.66
Albacete,Albacete,4.5 (13:50),-1.1 (08:20),1.7,50 (13:20),15 (13:20),0.1,0.1,0,0,0,39.00555555555555,-1.8622222222222222
Alcalá del Júcar,Albacete,3.4 (16:20),-1.9 (08:10),0.8,41 (15:20),25 (17:30),0,0,0,0,0,39.1928901,-1.4289945
Almansa,Albacete,5.1 (15:20),-1.9 (08:50),1.6,51 (16:00),21 (11:30),0,0,0,0,0,38.8682065,-1.0978627
Orihuela,Alacant/Alicante,11.2 (13:30),4.5 (02:20),7.8,66 (18:20),36 (17:30),0,0,0,0,0,38.0856891,-0.9448805
Pinoso,Alacant/Alicante,7.2 (13:40),1.6 (04:00),4.4,50 (14:10),21 (14:40),0,0,0,0,0,38.4021056,-1.041617
Rojales,Alacant/Alicante,11.3 (15:10),6.3 (02:00),8.8,60 (14:50),39 (14:50),0,0,0,0,0,38.0871747,-0.7228213
Alicante-Elche Aeropuerto,Alacant/Alicante,11.1 (14:10),2.5 (02:00),6.8,72 (12:30),49 (14:40),0,0,0,0,0,38.282777777777774,-0.5708333333333333
