Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),Latitude,Longitude
Reus Aeropuerto,Tarragona,25.4 (13:40),15.6 (06:30),20.5,28 (12:50),18 (13:00),0,0,0,0,0,41.144999999999996,1.163611111111111
Barcelona Aeropuerto,Barcelona,24.5 (13:20),19.4 (02:10),21.9,26 (15:10),18 (03:00),0,0,0,0,0,41.29277777777778,2.0700000000000003
Manresa,Barcelona,27.1 (14:50),14.0 (06:50),20.6,35 (18:00),17 (15:10),3.6,3.6,0,0,0,41.72,1.840277777777778
Barcelona,Barcelona,23.2 (15:50),18.4 (00:30),20.8,29 (02:40),19 (11:50),0,0,0,0,0,41.39055555555556,2.2
Arenys de Mar,Barcelona,25.2 (15:10),16.2 (05:30),20.7,20 (14:40),9 (00:30),1.1,1.1,0,0,0,41.587500000000006,2.54
Santa Susanna,Barcelona,22.6 (15:30),13.0 (06:00),17.8,26 (15:20),15 (11:50),0.1,0.1,0,0,0,41.65083333333333,2.6969444444444446
Girona Aeropuerto,Girona,25.9 (13:40),13.7 (06:00),19.8,30 (15:50),22 (16:00),0,0,0,0,0,41.91166666666666,2.763333333333333
Porqueres,Girona,25.4 (14:30),13.0 (07:00),19.2,22 (15:00),14 (15:00),0.1,0,0.1,0,0,42.10444444444445,2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,24.4 (19:10),15.0 (06:40),19.7,48 (22:30),27 (22:40),8.9,0,0,0,8.9,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,28.2 (17:30),11.7 (06:40),20,24 (21:40),9 (12:50),14.5,1.4,0,0,13.1,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,24.1 (18:00),14.5 (07:00),19.3,34 (22:10),20 (13:30),6.1,0,0,0,6.1,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,25.1 (16:50),12.4 (07:10),18.8,59 (21:50),14 (15:10),2.3,0,0,0,2.3,43.20944444444445,-2.413333333333333
