España,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,latitude,longitude
Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm),0.0,0.0
Reus Aeropuerto,Tarragona,25.4 (16:40),13.3 (23:20),19.3,48 (17:50),35 (17:50),0,0,0,0,0,41.144999999999996,-1.163611111111111
Barcelona Aeropuerto,Barcelona,19.9 (14:40),14.8 (06:30),17.3,39 (15:40),27 (11:50),0,0,0,0,0,41.29277777777778,-2.0700000000000003
Manresa,Barcelona,24.0 (18:50),13.8 (07:30),18.9,39 (15:30),19 (15:30),0,0,0,0,0,41.72,-1.840277777777778
Barcelona,Barcelona,17.4 (19:20),14.7 (05:00),16,37 (15:30),30 (15:40),0,0,0,0,0,41.39055555555556,-2.2
Arenys de Mar,Barcelona,19.0 (17:30),12.7 (23:40),15.8,29 (12:30),13 (12:30),0,0,0,0,0,41.587500000000006,-2.54
Santa Susanna,Barcelona,17.8 (16:20),10.7 (23:50),14.2,39 (15:20),19 (15:00),0,0,0,0,0,41.65083333333333,-2.6969444444444446
Girona Aeropuerto,Girona,20.9 (14:30),12.2 (23:59),16.5,32 (14:20),24 (19:00),0,0,0,0,0,41.91166666666666,-2.763333333333333
Porqueres,Girona,19.9 (17:10),12.3 (01:00),16.1,27 (20:30),12 (19:00),0.1,0.1,0,0,0,42.10444444444445,-2.763611111111111
San Sebastián Aeropuerto,Gipuzkoa,18.5 (17:20),12.1 (23:59),15.3,54 (10:50),26 (13:20),3,0.2,2.8,0,0,43.356944444444444,-1.7922222222222222
Zumarraga,Gipuzkoa,16.3 (16:10),6.7 (23:59),11.5,30 (10:00),17 (10:00),0,0,0,0,0,43.080000000000005,-2.3175
Zumaia,Gipuzkoa,19.4 (16:20),11.0 (23:59),15.2,48 (02:10),33 (14:40),0,0,0,0,0,43.30222222222222,-2.2511111111111113
Elgoibar,Gipuzkoa,17.8 (15:10),8.3 (23:59),13,32 (11:10),14 (17:40),0.1,0.1,0,0,0,43.20944444444445,-2.413333333333333
Machichaco,Bizkaia,15.4 (17:30),10.9 (22:40),13.1,68 (01:40),53 (01:30),0,0,0,0,0,43.45388888888889,-2.7527777777777778
Punta Galea,Bizkaia,17.3 (12:10),10.8 (23:59),14,38 (01:10),22 (01:10),0,0,0,0,0,43.375,-3.0216666666666665
Güeñes,Bizkaia,18.4 (14:30),9.4 (23:59),13.9,33 (10:20),22 (10:10),0.1,0,0,0,0.1,43.20333333333333,-3.104722222222222
Bilbao Aeropuerto,Bizkaia,18.0 (16:20),10.8 (23:40),14.4,45 (13:20),29 (13:20),0,0,0,0,0,43.29805555555556,-2.906388888888889
Castro Urdiales,Cantabria,16.5 (12:10),11.3 (22:50),13.9,38 (11:40),27 (14:00),0,0,0,0,0,43.39472222222222,-3.233888888888889
Santander Aeropuerto,Cantabria,18.3 (16:40),12.2 (04:30),15.2,37 (12:40),27 (13:00),0,0,0,0,0,43.42388888888889,-3.8255555555555554
Santander,Cantabria,16.3 (16:10),12.4 (23:50),14.3,41 (06:10),28 (06:10),0,0,0,0,0,43.49111111111111,-3.8005555555555555
San Vicente de la Barquera,Cantabria,17.1 (14:40),10.7 (07:40),13.9,40 (13:10),26 (13:10),0,0,0,0,0,43.39333333333333,-4.392222222222222
Llanes,Asturias,17.6 (18:30),11.6 (05:00),14.6,34 (13:10),22 (13:40),0,0,0,0,0,43.42027777777778,-4.748055555555555
"Gijón, Campus",Asturias,17.5 (17:00),8.0 (04:50),12.8,39 (13:20),23 (13:40),0,0,0,0,0,43.52305555555555,-5.621111111111111
Asturias Aeropuerto,Asturias,16.1 (14:10),11.0 (05:30),13.6,37 (03:40),24 (10:10),0,0,0,0,0,43.566944444444445,-6.0441666666666665
Oviedo,Asturias,17.8 (16:10),9.3 (06:40),13.5,33 (11:00),17 (10:30),0,0,0,0,0,43.35333333333333,-5.874166666666667
Castropol,Asturias,17.9 (17:10),10.6 (07:10),14.3,26 (06:00),12 (00:20),0.4,0,0,0,0.4,43.52472222222222,-7.0313888888888885
Estaca de Bares,A Coruña,15.2 (11:10),11.9 (23:59),13.5,67 (00:10),56 (00:10),1.2,0,0,0,1.2,43.78611111111111,-7.684722222222223
A Coruña,A Coruña,17.3 (13:20),11.9 (07:00),14.6,23 (00:50),15 (00:40),1,0,0,0,1,43.365833333333335,-8.421388888888888
Cabo Vilan,A Coruña,17.9 (15:10),11.0 (07:20),14.4,32 (23:59),22 (17:10),0.3,0,0,0,0.3,43.160555555555554,-9.210833333333333
