latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm)
37.0886,-5.8802,300.4,1.1,1.0,2021-01-02,1125,Terra,MODIS,37,6.03,287.8,5.1,D,0,21.353232,-2.533881,9.298166,22.578122,15.031718,0.015306,-0.002044,0.015833,0.000455,0.0
36.6599,-4.8777,305.5,1.8,1.3,2021-01-02,1304,Aqua,MODIS,62,6.03,282.8,21.3,D,0,11.09592,5.196013,8.882916,34.208437,17.180566,0.015459,-0.003381,0.012758,0.009419,0.0
36.8729,-2.4486,304.8,1.2,1.1,2021-01-02,2228,Terra,MODIS,62,6.03,277.7,13.9,N,0,14.367423,25011.028834,10.728333,45.369113,-10.313458,0.047007,-7.3e-05,0.025924,0.026062,-0.0
36.8745,-2.4347,334.7,1.2,1.1,2021-01-02,2228,Terra,MODIS,100,6.03,279.1,53.3,N,2,14.432656,11764.147475,10.879741,46.400042,-11.607034,0.040432,-7.6e-05,0.027308,0.027086,-0.0
40.2352,-0.8699,320.1,1.1,1.1,2021-01-04,1112,Terra,MODIS,80,6.03,276.0,26.4,D,0,1.655655,-2.984083,2.262419,-10229.156936,132.155831,0.500131,-0.078985,0.646705,-0.000356,0.157702
40.8273,-0.2433,307.2,1.2,1.1,2021-01-04,1112,Terra,MODIS,65,6.03,278.6,14.5,D,0,5.754425,-0.245641,2.689967,46.770779,32.878053,0.132763,-0.003691,-1.062958,0.021392,-0.0282
40.2329,-0.8569,303.0,1.1,1.1,2021-01-04,1112,Terra,MODIS,55,6.03,275.1,11.1,D,0,1.560849,-2.90146,2.340048,-10682.922873,130.437962,0.490052,-0.078017,0.528806,-0.000287,0.153859
43.5413,-5.8322,317.1,1.0,1.0,2021-01-04,2218,Terra,MODIS,94,6.03,271.8,21.0,N,2,2.236009,2.242729,3.82886,31.125868,85.120153,22.022515,1076.057983,7.066054,8.445892,1.443668
41.6403,-3.8539,300.9,1.8,1.3,2021-01-07,1142,Terra,MODIS,43,6.03,273.8,20.8,D,0,2.291256,-6.227454,-2.270411,31.643723,19.993812,-0.205228,-0.012899,-0.015134,-0.033684,-0.016475
41.6448,-3.8641,315.8,1.0,1.0,2021-01-07,1324,Aqua,MODIS,76,6.03,276.7,18.1,D,0,2.289177,-5.301083,-2.240888,31.898377,20.512826,-0.203085,-0.01324,-0.014742,-0.031414,-0.017318
40.17,-6.4271,304.5,1.0,1.0,2021-01-11,1118,Terra,MODIS,59,6.03,279.7,9.6,D,0,9.487737,2.727572,7.118296,51.199211,30.403528,-0.001552,0.000641,-0.007038,0.0,0.0
43.5317,-5.8404,302.9,1.7,1.3,2021-01-11,1300,Aqua,MODIS,50,6.03,281.7,16.9,D,0,12.018367,-0.973075,6.148429,463.702946,17.261809,-0.082119,-4.4e-05,-5.8e-05,-0.000459,0.0
42.8393,-8.9623,303.2,1.6,1.2,2021-01-12,1200,Terra,MODIS,55,6.03,280.7,16.7,D,0,11.538318,2.619528,6.421063,38.719093,24.800306,0.0,0.036849,0.0,0.0,0.0
42.1231,-6.5841,306.7,2.2,1.5,2021-01-12,1200,Terra,MODIS,64,6.03,277.4,36.1,D,0,11.280779,-9.510283,0.892353,1.573596,-3.967061,-0.0,-0.020593,-0.0,0.0,0.0
42.117,-6.5575,308.6,2.3,1.5,2021-01-12,1200,Terra,MODIS,67,6.03,278.8,40.4,D,0,11.24047,-9.518359,0.875033,1.091318,-3.831368,-0.0,-0.020715,-0.0,0.0,0.0
41.8279,-5.7817,309.0,1.3,1.1,2021-01-13,1106,Terra,MODIS,68,6.03,275.3,18.6,D,0,7.294736,28.820756,-3.566685,36.248098,2.405421,-0.0,-0.0,0.006197,0.0,-0.0
43.5398,-5.8373,303.1,1.1,1.0,2021-01-13,2212,Terra,MODIS,53,6.03,275.1,11.4,N,2,10.814832,1.480766,6.256281,22.491906,13.932356,-0.0,-0.0,0.008033,0.0,0.0
37.4925,-6.2313,302.1,1.0,1.0,2021-01-14,1329,Aqua,MODIS,51,6.03,287.0,5.7,D,0,11.234025,9.271073,6.275453,69.59096,13.696049,-0.0,0.0,0.0,-0.0,-0.0
38.8857,-6.2679,301.6,1.0,1.0,2021-01-14,1329,Aqua,MODIS,45,6.03,281.8,7.1,D,0,7.947228,-5.006936,2.464828,9.664144,9.24368,-0.0,0.0,0.0,0.0,0.0
38.807,-6.8319,301.4,1.0,1.0,2021-01-14,1329,Aqua,MODIS,47,6.03,281.5,7.2,D,0,9.82985,-1.950198,2.032512,16.607505,15.441128,0.0,0.0,0.0,0.0,0.0
38.6785,-4.0482,312.8,1.3,1.1,2021-01-15,1054,Terra,MODIS,73,6.03,281.4,21.7,D,0,9.057755,71754.042378,-3.701106,-64.809985,676.876605,-0.00171,0.0,-0.0,0.002911,0.0
37.3141,-6.5847,301.7,1.4,1.2,2021-01-16,1316,Aqua,MODIS,49,6.03,289.8,7.4,D,0,20.516151,2.006897,9.322201,25.893312,17.703974,0.0,0.0,0.0,0.0,0.0
38.2837,-3.6152,309.4,1.1,1.0,2021-01-16,1316,Aqua,MODIS,69,6.03,285.6,10.6,D,0,10.405195,-2.511078,9.037997,-611.698994,13.696444,-0.0,0.0,-0.0,0.0,0.0
38.7012,-3.7307,321.4,1.1,1.0,2021-01-16,1317,Aqua,MODIS,81,6.03,286.4,21.4,D,0,19.396844,-3.579594,0.138695,-678.739075,12.386893,-0.0,0.0,-0.0,0.0,0.0
38.7031,-3.7189,312.7,1.1,1.0,2021-01-16,1317,Aqua,MODIS,73,6.03,285.6,13.1,D,0,18.492265,-3.668601,0.23308,-656.815321,12.340488,-0.0,0.0,-0.0,0.0,0.0
38.6641,-2.8393,308.7,1.0,1.0,2021-01-16,1317,Aqua,MODIS,68,6.03,284.0,10.7,D,0,7.403914,-2.694927,3.705006,-2762.367249,19.717438,-0.0,0.0,-0.0,0.0,0.0
43.5342,-5.8365,313.4,1.1,1.0,2021-01-16,1318,Aqua,MODIS,74,6.03,285.4,15.9,D,0,8.383186,-0.422608,6.649441,22.975701,16.019859,-0.0,0.0,-4e-06,0.0,0.0
42.14,-5.3423,306.8,1.0,1.0,2021-01-18,1124,Terra,MODIS,64,6.03,276.6,10.7,D,0,1.765234,-31.773805,-0.710343,-9886.539138,11.808646,1.066335,0.0,0.0,0.0,0.0
40.7427,-6.4446,302.0,1.0,1.0,2021-01-18,1124,Terra,MODIS,50,6.03,282.0,6.9,D,0,-5.441657,-9.652133,49.596264,3159.327106,-75.792001,-0.0,-0.0,0.0,-0.011373,0.0
37.1143,-5.8738,300.3,1.1,1.0,2021-01-18,1125,Terra,MODIS,34,6.03,289.3,4.1,D,0,16.819097,1.795492,8.630223,18.080357,12.393591,0.0,-0.0,-0.0,0.00084,-0.0
38.4497,-1.2532,300.9,1.1,1.0,2021-01-18,1304,Aqua,MODIS,41,6.03,289.9,4.6,D,0,16.376428,-4.166236,7.202313,32.857676,20.499797,0.0,0.0,0.0,-0.0,-0.0
38.4477,-1.2655,303.9,1.1,1.0,2021-01-18,1304,Aqua,MODIS,57,6.03,290.5,6.5,D,0,16.326249,-4.428074,7.157734,32.984127,20.416273,0.0,0.0,0.0,-0.0,-0.0
39.7172,-0.7113,300.0,1.0,1.0,2021-01-18,1304,Aqua,MODIS,22,6.03,287.4,4.3,D,0,8.733881,5.936259,12.736324,25.596503,20.303312,0.0,-0.0,0.0,-0.0,0.0
37.5881,-1.637,305.9,1.2,1.1,2021-01-18,1304,Aqua,MODIS,62,6.03,291.2,7.9,D,0,18.067894,-10.810576,11.395572,20.778377,14.017488,0.0,0.0,0.0,-0.0,0.0
43.3108,-4.7987,304.3,1.2,1.1,2021-01-21,1336,Aqua,MODIS,55,6.03,286.4,8.8,D,0,32.584418,17.226618,-79.363394,71.960836,-6695.341629,0.009414,0.088491,0.0,0.069715,0.0
37.8237,-1.341,311.9,1.0,1.0,2021-01-22,1100,Terra,MODIS,72,6.03,292.0,10.4,D,0,22.998412,12.46351,17.910654,400.852485,-54.825961,0.220756,-0.047278,0.014066,31.667871,1.5e-05
37.822,-1.3299,315.9,1.0,1.0,2021-01-22,1100,Terra,MODIS,76,6.03,291.3,13.9,D,0,23.017926,12.573484,17.914977,381.598449,-47.814631,0.2085,-0.046579,0.012451,31.386908,1.6e-05
37.9884,-1.0817,303.4,1.0,1.0,2021-01-22,1100,Terra,MODIS,56,6.03,291.3,4.5,D,0,21.90738,11.160298,16.147896,-42.619335,59.961838,0.374966,-0.014534,0.02229,1.396021,5e-06
